,funds,link,location,title
65,"
$0 raised of $30,000                    ",https://www.gofundme.com/send-a-spine-to-republicans-in-congress,"Alexandria, VA",Send a spine to Republicans in Congress
66,"
$0 raised of $1.0M                    ",https://www.gofundme.com/gvdmdu-republican,"Los Angeles, CA",Republican
67,"
$0 raised of $100,000                    ",https://www.gofundme.com/ban-conservatives-on-social-media-for-racist-views,"Tustin, CA",Ban republican/conservatives on social media
68,"
$0 raised of $1,000                    ",https://www.gofundme.com/republicans-versus-democrats,"Woodland Hills, CA",Republicans versus Democrats
69,"
$0 raised of $10,000                    ",https://www.gofundme.com/ca-republican-needs-help-moving,"North Hills, CA",CA Republican needs help Moving
70,"
$0 raised of $100,000                    ",https://www.gofundme.com/suburban-housewives-for-republican-party-2020,"North East, MD",Suburban housewives For Republican Party 2020
71,"
$0 raised of $10,000                    ",https://www.gofundme.com/republican-support,"Plantation, FL",Republican Support
72,"
$0 raised of $10,000                    ",https://www.gofundme.com/republicans-without-souls,"Hermiston, OR",Republicans without Souls
73,"
$0 raised of $30,000                    ",https://www.gofundme.com/black-republican-trump-allied,"Anderson, SC",Black Republican /Trump allied
74,"
$0 raised of $10,000                    ",https://www.gofundme.com/being-mean-to-republicans,"Elgin, OK",Being Mean to Republicans
75,"
$0 raised of $5,000                    ",https://www.gofundme.com/1r9fd78sio,"Chicago, IL",Republican African American Shunned From Community
76,"
$0 raised of $3,000                    ",https://www.gofundme.com/diplomatic-mission-for-united-ireland,"Seneca, SC",Irish Republican POW Diplomatic mission
77,"
$0 raised of $75,000                    ",https://www.gofundme.com/bina-shah-replublican-for-assembly-nj-ld14,"Hightstown, NJ",Bina Shah Republican for Assembly - NJ LD14
78,"
$0 raised of $1,000                    ",https://www.gofundme.com/tpusaminnesota-state-university-event-funds,"Mankato, MN",MNSU College Republicans Event Funds
79,"
$0 raised of $200.0M                    ",https://www.gofundme.com/sue-the-national-republican-party-for-damages-due,"Valley Stream, NY",Sue The National Republican Party For Damages Due
80,"
$0 raised of $100,000                    ",https://www.gofundme.com/lets-flush-the-republicans,"Staten Island, NY",Let's FLUSH The Republicans
81,"
$0 raised of $3,000                    ",https://www.gofundme.com/smc-college-republicans,"Moraga, CA",SMC College Republicans
82,"
$0 raised of $1.0M                    ",https://www.gofundme.com/gofundmyvote-republican-swing,"Perrysburg, OH",GoFundMyVote - Republican Swing
83,"
$0 raised of $7,500                    ",https://www.gofundme.com/bob-jones-republican,"Palm Coast, FL",www.trumpandjones.com
84,"
$0 raised of $5,000                    ",https://www.gofundme.com/to-keep-republican-media-on-social-media,"Bryant, AR",Republican podcast and social media coverage
85,"
$0 raised of $800                    ",https://www.gofundme.com/help-trump-supporter-fix-laptop,"California City, CA",Help A Young Republican Fix His Laptop (MAGA)
86,"
$0 raised of $50,000                    ",https://www.gofundme.com/maga-keep-trump-in-the-whitehouse,"Bethany, OK",Mom kicked me out because I’m a black Republican
87,"
$0 raised of $250                    ",https://www.gofundme.com/1pxazlsgg0,"Branford, CT",Establish the Branford Young Republicans
88,"
$0 raised of $500,000                    ",https://www.gofundme.com/how-to-make-a-republican-a-democrat,"Lugoff, SC",How to make a Republican a Democrat
89,"
$0 raised of $200                    ",https://www.gofundme.com/teenage-republicans-club,"Damascus, OR",Teenage Republicans Club
90,"
$0 raised of $20,000                    ",https://www.gofundme.com/tuition-for-young-female-republican,"Georgetown, TX",Tuition for Young Female Latina Republican
91,"
$0 raised of $20,000                    ",https://www.gofundme.com/1pel6p9tqo,"Waukee, IA",Republican Party Business
92,"
$0 raised of $20,000                    ",https://www.gofundme.com/support-minneapolis-republicans,"Minneapolis, MN",Support Minneapolis  Republicans
93,"
$0 raised of $1,200                    ",https://www.gofundme.com/scholarship-for-log-cabin-republicans,"Clairton, PA",Scholarship for Log Cabin Republicans
94,"
$0 raised of $999                    ",https://www.gofundme.com/inform-swing-state-republicans-about-border-crisis,"Harleysville, PA",Moms' Moral Outrage Against Internment of Children
95,"
$0 raised of $10,000                    ",https://www.gofundme.com/young-black-republican-needs-money-for-college,"Trenton, NJ",Young Black Republican Needs Money For College!!!!
96,"
$0 raised of $1.8M                    ",https://www.gofundme.com/1oqjn6to80,"Long Beach, CA","""Black Ted Cruz"" Republican Presidential Candidate"
97,"
$0 raised of $2,000                    ",https://www.gofundme.com/make-me-vote-republican,"El Cajon, CA",Make Me Vote Republican!!!
